"name","rank","score","original_link","year","month","day"
서울대,1,220,https://www.joongang.co.kr/article/25293053,2024,11,19,2024,11,19
연세대,2,219,https://www.joongang.co.kr/article/25293053,2024,11,19
성균관대,3,215,https://www.joongang.co.kr/article/25293053,2024,11,19
고려대,4,210,https://www.joongang.co.kr/article/25293053,2024,11,19
한양대,5,203,https://www.joongang.co.kr/article/25293053,2024,11,19
경희대,6,182,https://www.joongang.co.kr/article/25293053,2024,11,19
이화여대,7,179,https://www.joongang.co.kr/article/25293053,2024,11,19
서강대,8,177,https://www.joongang.co.kr/article/25293053,2024,11,19
동국대,9,173,https://www.joongang.co.kr/article/25293053,2024,11,19
건국대,10,170,https://www.joongang.co.kr/article/25293053,2024,11,19
중앙대,10,170,https://www.joongang.co.kr/article/25293053,2024,11,19
아주대,12,160,https://www.joongang.co.kr/article/25293053,2024,11,19
국민대,13,158,https://www.joongang.co.kr/article/25293053,2024,11,19
서울시립대,14,152,https://www.joongang.co.kr/article/25293053,2024,11,19
인하대,14,152,https://www.joongang.co.kr/article/25293053,2024,11,19
한양대,16,144,https://www.joongang.co.kr/article/25293053,2024,11,19
세종대,17,139,https://www.joongang.co.kr/article/25293053,2024,11,19
광운대,18,137,https://www.joongang.co.kr/article/25293053,2024,11,19
한국외국어대,18,137,https://www.joongang.co.kr/article/25293053,2024,11,19
경북대,20,134,https://www.joongang.co.kr/article/25293053,2024,11,19
서울과학기술대,20,134,https://www.joongang.co.kr/article/25293053,2024,11,19
